date,sampling,sampling_date,one_month_window,omw_date,biomass _sampling,micro_sampling,label_micro
20230504,0,4-May-23,0,May 2023,NO,YES,A
20230516,1,16-May-23,1,May-Jun 2023,NO,NO,NA
20230614,2,14-Jun-23,1,May-Jun 2023,NO,YES,B
20230628,3,28-Jun-23,2,Jun-Jul 2023,YES,NO,NA
20230711,4,07-Jul-23,2,Jun-Jul 2023,YES,YES,C
20230726,5,26-Jul-23,3,Jul-Aug 2023,YES,NO,NA
20230822,6,22-Aug-23,3,Jul-Aug 2023,YES,NO,NA
20230904,7,4-Sep-23,4,Sept 2023,YES,YES,D
20230918,8,19-Sep-23,4,Sept 2023,YES,NO,NA
20231004,9,4-Oct-23,5,Oct 2023,YES,NO,NA
20231016,10,16-Oct-23,5,Oct 2023,YES,NO,NA
20231113,11,13-Nov-23,6,Nov 2023,YES,YES,E
20240312,12,12-Mar-24,7,March-Apr 2024,NO,NO,NA
20240403,13,3-Apr-24,7,March-Apr 2024,YES,YES,F
20240416,14,16-Apr-24,8,Apr-May 2024,YES,NO,NA
20240507,15,7-May-24,8,Apr-May 2024,YES,NO,NA
20240528,16,28-May-24,9,May-Jun 2024,YES,YES,G
20240621,17,21-Jun-24,9,May-Jun 2024,YES,NO,NA
20240715,18,15-Jul-24,10,Jul 2024,YES,NO,NA
20240819,19,19-Aug-24,11,Aug 2024,YES,NO,NA
20241021,20,21-Oct-24,12,Oct 2024,YES,YES,H